CASE_NO,STARTED,CLOSED,CaseType,CaseSubType,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,Case_Count,Case_Completion
CE17-0151,2/17/2017 12:00:00 AM,4/13/2017 12:00:00 AM,CODE ENFORCEMENT,,2009 GARRETSON AV ,,,,1,1
CE01-0328,4/26/2001 12:00:00 AM,5/23/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,3355 DEAVER DR,,,,1,1
CE07-0282,2/20/2007 12:00:00 AM,2/26/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,3355 DEAVER DR     ,,,,1,1
CE07-1367,8/13/2007 12:00:00 AM,9/12/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,3355 DEAVER DR     ,,,,1,1
CE12-0910,8/28/2012 12:00:00 AM,8/30/2012 12:00:00 AM,CODE ENFORCEMENT,,1435 CANYON CREST DR,CORONA,CA,92882,1,1
CE18-1240,9/4/2018 12:00:00 AM,10/2/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,3355 DEAVER DR,CORONA,CA,92882,1,1
CC25-1126,7/23/2025 12:00:00 AM,,CODE ENFORCEMENT,PROPERTY MAINTENANCE,905 BRANDYWINE LN,CORONA,CA,92880,1,0
CE06-0488,6/19/2006 12:00:00 AM,7/21/2006 12:00:00 AM,CODE ENFORCEMENT,DEVEL,1486 BAIRD ST     ,,,,1,1
CE00-0106,12/6/2000 12:00:00 AM,12/19/2000 12:00:00 AM,CODE ENFORCEMENT,PROP,1515 WHITE HOLLY DR,,,,1,1
CE16-0517,5/4/2016 12:00:00 AM,8/23/2017 12:00:00 AM,CODE ENFORCEMENT,,216 W OLD MILL RD,,,,1,1
CE19-0264,3/14/2019 12:00:00 AM,11/21/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,405 W HACIENDA DR,CORONA,CA,92882,1,1
CE2017-0136,8/18/2017 12:00:00 AM,1/28/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,405 W HACIENDA DR,CORONA,CA,92882,1,1
CE01-1215,11/1/2001 12:00:00 AM,11/14/2001 12:00:00 AM,CODE ENFORCEMENT,MULTI,767 HEARST WY,,,,1,1
CE01-0886,9/4/2001 12:00:00 AM,9/11/2001 12:00:00 AM,CODE ENFORCEMENT,SIGN,767 HEARST WY,,,,1,1
CE01-1053,9/25/2001 12:00:00 AM,10/4/2001 12:00:00 AM,CODE ENFORCEMENT,MULTI,767 HEARST WY,,,,1,1
CE06-1000,10/11/2006 12:00:00 AM,12/18/2006 12:00:00 AM,CODE ENFORCEMENT,PROP,935 W EIGHTH ST     ,,,,1,1
CE09-0859,7/7/2009 12:00:00 AM,7/31/2009 12:00:00 AM,CODE ENFORCEMENT,PROP,935 W EIGHTH ST     ,,,,1,1
CE15-1209,11/25/2015 12:00:00 AM,1/20/2016 12:00:00 AM,CODE ENFORCEMENT,,935 W EIGHTH ST ,,,,1,1
